selected,selection_key,method,scenario,experiment_id,eval_name,repeat,episode_id,line_no,result,win,score,terminal_hp_margin,final_hp_delta,final_hp_my,final_hp_enemy,final_game_loop,frame_count,state_seq_len,unique_state_count,ood_frames,ood_ratio,mechanism_changed_frames,mechanism_changed_ratio,switch_frames,tuning_frames,tuning_ratio,gate_frames,gate_ratio,gate_A_mean,gate_A_max,gate_A_positive_ratio,gate_A_pass_ratio,gate_C_mean,gate_C_max,gate_C_pass_ratio,gate_v_mean,gate_v_max,gate_v_support_mean,gate_v_support_max,gate_supported_frames,gate_supported_ratio,gate_validated_frames,gate_validated_ratio,gate_joint_pass_ratio,gate_changed_ratio,gate_mean_evidence_score,gate_peak_evidence_score,gate_mean_gate_pass_score,gate_peak_gate_pass_score,gate_mean_rectification_score,gate_peak_rectification_score,gate_mean_support_score,gate_peak_support_score,avg_decision_ms,first_state_key,last_state_key,eval_dir,batch_tag,score_numeric,score_bin,etg_subset_mean_score,etg_subset_std_score,counterpart_rule,synergy_selected_mean_score,synergy_selected_median_score,synergy_selected_std_score,target_mean_score,target_median_score,counterpart_rank
False,repeat_001::ep_159::line_159,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,159,159,Win,True,60.0,60.0,3.0,60.0,0.0,18866,14,14,13,1,0.0714285714285714,0,0.0,0,2,0.1428571428571428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3105999999988285,0,2824,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,60.0,0,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,96
False,repeat_001::ep_13::line_13,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,13,13,Win,True,57.0,57.0,18.0,57.0,0.0,1524,12,12,12,0,0.0,0,0.0,0,4,0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833749999997636,0,3023,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,57.0,0,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,97
False,repeat_001::ep_45::line_45,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,45,45,Win,True,57.0,57.0,-3.0,57.0,0.0,5438,13,13,12,0,0.0,0,0.0,0,4,0.3076923076923077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1881000000016897,0,1707,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,57.0,0,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,98
False,repeat_001::ep_123::line_123,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,123,123,Win,True,57.0,57.0,3.0,57.0,0.0,14664,13,13,12,0,0.0,0,0.0,0,3,0.2307692307692307,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2032000000014022,0,8084,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,57.0,0,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,99
False,repeat_001::ep_60::line_60,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,60,60,Win,True,54.0,54.0,3.0,54.0,0.0,7208,14,14,13,0,0.0,0,0.0,0,3,0.2142857142857142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2344333333326176,0,1221,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,54.0,0,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,100
False,repeat_001::ep_45::line_45,ETG-only,sce-2m,sce2m_etg_run_0072,eval_run_0072_web_batch_20260622_141137,repeat_001,45,45,Win,True,66.0,66.0,21.0,66.0,0.0,5898,13,13,12,1,0.0769230769230769,0,0.0,0,4,0.3076923076923077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2178249999991166,0,4332,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2m_etg_run_0072\final_eval\eval_run_0072_web_batch_20260622_141137,web_batch_20260622_141137,66.0,9,44.7,13.654835973183472,original_final_eval_subset_lower_mean_high_variation,57.0,57.0,4.69041575982343,55.59287527205297,55.59287527205297,1
False,repeat_001::ep_3::line_3,ETG-only,sce-2m,sce2m_etg_run_0072,eval_run_0072_web_batch_20260622_141137,repeat_001,3,3,Win,True,63.0,63.0,18.0,63.0,0.0,384,13,13,13,1,0.0769230769230769,0,0.0,0,4,0.3076923076923077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2177000000003204,0,10062,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2m_etg_run_0072\final_eval\eval_run_0072_web_batch_20260622_141137,web_batch_20260622_141137,63.0,9,44.7,13.654835973183472,original_final_eval_subset_lower_mean_high_variation,57.0,57.0,4.69041575982343,55.59287527205297,55.59287527205297,2
False,repeat_001::ep_20::line_20,ETG-only,sce-2m,sce2m_etg_run_0072,eval_run_0072_web_batch_20260622_141137,repeat_001,20,20,Win,True,63.0,63.0,3.0,63.0,0.0,2608,14,14,14,2,0.1428571428571428,0,0.0,0,4,0.2857142857142857,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2082500000009091,0,10062,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2m_etg_run_0072\final_eval\eval_run_0072_web_batch_20260622_141137,web_batch_20260622_141137,63.0,9,44.7,13.654835973183472,original_final_eval_subset_lower_mean_high_variation,57.0,57.0,4.69041575982343,55.59287527205297,55.59287527205297,3
False,repeat_001::ep_36::line_36,ETG-only,sce-2m,sce2m_etg_run_0072,eval_run_0072_web_batch_20260622_141137,repeat_001,36,36,Win,True,63.0,63.0,3.0,63.0,0.0,4710,14,14,13,0,0.0,0,0.0,0,4,0.2857142857142857,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2634249999999838,0,10062,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2m_etg_run_0072\final_eval\eval_run_0072_web_batch_20260622_141137,web_batch_20260622_141137,63.0,9,44.7,13.654835973183472,original_final_eval_subset_lower_mean_high_variation,57.0,57.0,4.69041575982343,55.59287527205297,55.59287527205297,4
False,repeat_001::ep_169::line_169,ETG-only,sce-2m,sce2m_etg_run_0072,eval_run_0072_web_batch_20260622_141137,repeat_001,169,169,Win,True,63.0,63.0,15.0,63.0,0.0,22356,13,13,12,0,0.0,0,0.0,0,3,0.2307692307692307,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1931333333331508,0,10062,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2m_etg_run_0072\final_eval\eval_run_0072_web_batch_20260622_141137,web_batch_20260622_141137,63.0,9,44.7,13.654835973183472,original_final_eval_subset_lower_mean_high_variation,57.0,57.0,4.69041575982343,55.59287527205297,55.59287527205297,5
