state_id,x,y,visits,method_count,methods,color,category,marker
657,-0.9359555310668253,-2.9251838365305014,22,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
24,-3.1108737422627977,-3.732174580183577,21,3,MAPPO;MAT;QMIX,#c3c3c3,baseline_shared,o
145,0.37425413420882003,-0.4812992924499145,21,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
269,2.4087936522873132,1.0564950372663662,21,3,MAT;QMIX;RMAPPO,#c3c3c3,baseline_shared,o
406,-1.888602221490124,0.4957859294344038,21,1,VDN,#D62728,baseline_unique,o
615,2.2671998590500335,1.1175672322973533,21,1,RMAPPO,#8C564B,baseline_unique,o
696,3.223995612031496,-0.18763062450626214,21,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
53,-1.7251755850146369,-2.2958310767265586,20,3,MAT;QMIX;QTRAN,#c3c3c3,baseline_shared,o
178,-1.1823878852733396,-1.951108855366849,20,3,QMIX;QTRAN;RMAPPO,#c3c3c3,baseline_shared,o
408,0.564713074951715,0.8473631890118988,20,2,MAT;VDN,#dbdbdb,baseline_shared,o
553,2.665912456739669,0.565910700319853,20,2,ETG-only;MAPPO,#dbdbdb,cross_shared,D
616,2.577507305164376,0.7759207931862618,20,2,ETG-only;RMAPPO,#dbdbdb,cross_shared,D
677,2.6265939438683232,-0.21364126429773964,20,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
684,0.7719836969345503,-1.8901878906812515,20,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
41,-3.1507921184934005,-3.7192403748030642,19,2,MAT;QMIX,#dbdbdb,baseline_shared,o
43,-1.6036522820650392,-1.42083519504726,19,2,MAT;QMIX,#dbdbdb,baseline_shared,o
51,0.928146543409797,4.521995830874111,19,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
71,-1.5555432162111775,-0.1126223886433693,19,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
108,0.2866212754236695,1.3800540662174752,19,2,QMIX;VDN,#dbdbdb,baseline_shared,o
324,-1.6100472758921804,-1.7159595191365506,19,1,QTRAN,#9467BD,baseline_unique,o
403,-3.663287849263496,-2.4038372522629263,19,1,VDN,#D62728,baseline_unique,o
620,2.6203157998935556,0.5890110241575152,19,1,RMAPPO,#8C564B,baseline_unique,o
12,-4.034496047932655,-3.4268468054490797,18,2,MAT;QMIX,#dbdbdb,baseline_shared,o
60,4.091933176002391,5.501579105134253,18,3,QMIX;QTRAN;VDN,#c3c3c3,baseline_shared,o
325,0.2156887959040441,2.0992782543824355,18,2,QTRAN;VDN,#dbdbdb,baseline_shared,o
427,2.385942327490912,1.5469065428932016,18,2,MAT;VDN,#dbdbdb,baseline_shared,o
628,0.7526300209322325,-0.7936493972623473,18,2,RMAPPO;Synergy,#dbdbdb,cross_shared,D
655,3.549426162243456,-1.9785104238864633,18,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
76,-3.6229609452253295,-0.3958513169333133,17,2,MAT;QMIX,#dbdbdb,baseline_shared,o
95,-3.9388530520587124,-1.805810349612121,17,2,QMIX;VDN,#dbdbdb,baseline_shared,o
155,-4.23534948051514,-2.6193054468005617,17,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
157,0.34183717524509877,-0.4392761925624123,17,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
215,2.734559977960858,0.3527046987385865,17,4,MAT;QMIX;QTRAN;Synergy,#acacac,cross_shared,D
228,0.6759218445355596,1.8291466216497065,17,3,QMIX;QTRAN;VDN,#c3c3c3,baseline_shared,o
617,0.5040155269147303,-0.6789729557530056,17,1,RMAPPO,#8C564B,baseline_unique,o
652,1.056944830295574,-1.763213472560528,17,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
690,3.7171178655727934,2.456460103195692,17,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
25,-2.8410664127538348,-3.1205331575481523,16,2,QMIX;VDN,#dbdbdb,baseline_shared,o
196,2.4473086128061943,0.915057499493204,16,2,MAT;QMIX,#dbdbdb,baseline_shared,o
267,2.258124257903357,1.6897955497108608,16,2,QMIX;VDN,#dbdbdb,baseline_shared,o
309,0.7344988974737291,0.4499127607491006,16,2,QMIX;VDN,#dbdbdb,baseline_shared,o
745,-1.2102366445980073,-3.421174517596137,16,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
55,-1.7011424334368146,-0.21240776654656085,15,2,QMIX;QTRAN,#dbdbdb,baseline_shared,o
97,-1.7717349064203585,-0.07393288997200224,15,2,QMIX;VDN,#dbdbdb,baseline_shared,o
117,3.2704229991370948,2.863107919129802,15,2,QMIX;QTRAN,#dbdbdb,baseline_shared,o
118,-4.228653789079498,-1.7481860383371288,15,2,MAT;QMIX,#dbdbdb,baseline_shared,o
147,-3.389093637969122,-2.5261112650455355,15,2,MAT;QMIX,#dbdbdb,baseline_shared,o
270,2.573614842981334,0.7268435696701724,15,2,MAT;QMIX,#dbdbdb,baseline_shared,o
292,-1.4335347385022765,-1.3831855221991125,15,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
346,3.7369861482039086,-1.4874359908326946,15,4,ETG-only;MAPPO;QTRAN;RMAPPO,#acacac,cross_shared,D
531,-3.5389635096074654,-0.934341917458715,15,2,MAT;VDN,#dbdbdb,baseline_shared,o
583,0.33309877842126834,-0.5805780887312718,15,2,MAT;Synergy,#dbdbdb,cross_shared,D
650,3.148123146628575,0.2131484754772321,15,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
706,1.157974722174218,-2.2459891235474605,15,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
129,-3.70276398589645,-0.5922413674260691,14,2,QMIX;VDN,#dbdbdb,baseline_shared,o
193,0.4286430963012437,-1.072354623854368,14,2,QMIX;Synergy,#dbdbdb,cross_shared,D
389,-1.2803247268403355,-1.7985207559077565,14,2,QTRAN;RMAPPO,#dbdbdb,baseline_shared,o
401,2.287663707558361,1.3863530407410318,14,1,VDN,#D62728,baseline_unique,o
481,-3.508818263029331,-2.438455184573911,14,1,VDN,#D62728,baseline_unique,o
555,0.7712347864744138,-0.5388337744242847,14,2,MAPPO;MAT,#dbdbdb,baseline_shared,o
563,2.2743747268788166,1.4893475831698422,14,2,ETG-only;MAPPO,#dbdbdb,cross_shared,D
668,2.365862134054439,0.763930052832939,14,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
8,2.2661597086956315,1.551408510609402,13,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
82,0.3376064062186026,0.2585920431921601,13,3,MAT;QMIX;QTRAN,#c3c3c3,baseline_shared,o
110,-1.5340631028696594,-0.16467955462534137,13,2,QMIX;VDN,#dbdbdb,baseline_shared,o
169,-1.7686401279584405,0.461828510337775,13,2,MAT;QMIX,#dbdbdb,baseline_shared,o
188,0.2586336286924123,1.799620301638354,13,2,QMIX;VDN,#dbdbdb,baseline_shared,o
256,3.4813264539063407,4.0707173283743305,13,2,QMIX;VDN,#dbdbdb,baseline_shared,o
276,6.017602079945987,2.2691150211144673,13,3,QMIX;QTRAN;VDN,#c3c3c3,baseline_shared,o
330,3.682858695750243,2.0227787523929663,13,2,MAPPO;QTRAN,#dbdbdb,baseline_shared,o
560,4.965372260750603,-0.6852024549022798,13,3,ETG-only;MAPPO;Synergy,#c3c3c3,cross_shared,D
631,2.9689603022516384,-0.4151345324002522,13,3,ETG-only;RMAPPO;Synergy,#c3c3c3,cross_shared,D
661,3.084036807532158,-0.232556568085651,13,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
687,2.9883548069093284,0.3358853653619709,13,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
689,0.8431337633030344,-1.7724160525488635,13,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
767,1.227834240639518,-1.6558207629278425,13,1,Synergy,#1F5A9D,calp_unique,^
7,2.757185941026203,0.8560141073173709,12,2,MAT;QMIX,#dbdbdb,baseline_shared,o
39,0.2283232535614387,1.060071645162363,12,4,MAT;QMIX;QTRAN;VDN,#acacac,baseline_shared,o
63,-1.7177231107280624,-0.817469203147815,12,2,MAT;QMIX,#dbdbdb,baseline_shared,o
88,-1.331453309696069,-0.2502305093475208,12,3,QMIX;QTRAN;VDN,#c3c3c3,baseline_shared,o
242,-3.814199391439837,-3.025055925589,12,2,QMIX;VDN,#dbdbdb,baseline_shared,o
257,-3.9299889302945767,-3.8378809751659575,12,2,QMIX;VDN,#dbdbdb,baseline_shared,o
397,-4.15208159420208,-3.026398011314914,12,1,VDN,#D62728,baseline_unique,o
410,-3.724807993770838,-0.44250251681619407,12,1,VDN,#D62728,baseline_unique,o
416,-3.849300719767282,-0.25957356072351623,12,1,VDN,#D62728,baseline_unique,o
417,-3.763765067727705,-2.067705360927816,12,2,MAT;VDN,#dbdbdb,baseline_shared,o
442,-3.6041942457742238,-2.102096128505702,12,1,VDN,#D62728,baseline_unique,o
450,-3.559457574124479,-0.6534097309659255,12,1,VDN,#D62728,baseline_unique,o
505,-3.6372768187262077,-0.4664111559353158,12,2,MAT;VDN,#dbdbdb,baseline_shared,o
557,0.4038158336322415,3.5602411105913463,12,4,ETG-only;MAPPO;MAT;Synergy,#acacac,cross_shared,D
572,0.7301614677215761,0.33394824573019777,12,1,MAT,#E377C2,baseline_unique,o
3,-3.744618795405772,-2.1935566915681615,11,1,QMIX,#F28E2B,baseline_unique,o
40,2.1978018091228937,1.9258807921263168,11,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
