source,target,transition_count,state_distance,methods,category
547,620,1,3.5108608404908255,RMAPPO,baseline
547,616,2,4.580208333333333,RMAPPO,baseline
547,629,1,3.5043887535787466,RMAPPO,baseline
547,703,4,2.7043887535787463,ETG-only;Synergy,calp
547,690,2,2.577527507157493,Synergy,calp
9,8,6,1.0979166666666667,,baseline
9,7,2,1.63125,,baseline
9,11,8,2.1489583333333333,MAT;QMIX;VDN,baseline
9,91,2,1.8712775071574925,QMIX,baseline
9,79,5,1.7903689823938471,MAT;QMIX;VDN,baseline
9,31,6,0.9535691738241592,QMIX;VDN,baseline
9,300,1,3.0666666666666664,QMIX,baseline
9,68,1,1.049180420245413,QMIX,baseline
9,401,6,1.7286885621484342,VDN,baseline
9,93,19,2.4726606490605136,VDN,baseline
9,267,7,1.3470970869120795,VDN,baseline
9,21,3,3.7489583333333334,VDN,baseline
9,415,3,2.183146083620912,VDN,baseline
9,101,1,2.153569173824159,VDN,baseline
9,255,1,3.63772208691208,VDN,baseline
9,425,2,0.6985910086855438,VDN,baseline
9,432,3,1.9477294169542452,VDN,baseline
9,32,6,3.0500854576302014,VDN,baseline
9,448,1,0.7153264432459419,VDN,baseline
9,427,2,2.0072916666666667,VDN,baseline
9,67,4,2.1158470869120793,VDN,baseline
9,228,1,3.755430420245413,VDN,baseline
9,501,1,1.8583333333333334,VDN,baseline
9,508,1,0.8369712750512239,VDN,baseline
9,20,3,2.3825137535787464,VDN,baseline
9,112,1,2.0072916666666663,VDN,baseline
9,522,1,1.9036379417178906,VDN,baseline
9,150,1,2.1995218954817677,MAT,baseline
9,213,1,0.5489583333333333,MAT,baseline
36,35,2,1.2,,baseline
36,37,9,0.7999999999999999,QMIX,baseline
36,24,2,3.0822916666666664,,baseline
36,80,4,0.9093749999999998,QMIX,baseline
36,53,5,0.5489583333333334,QMIX,baseline
36,54,4,0.9489583333333332,QMIX,baseline
36,34,10,1.9999999999999998,,baseline
36,198,1,2.03772208691208,QMIX,baseline
36,96,1,1.4427083333333335,QMIX,baseline
36,239,2,2.548958333333333,QMIX,baseline
36,277,1,0.5489583333333332,QMIX,baseline
36,551,1,1.3249999999999997,MAPPO,baseline
36,575,5,1.0979166666666667,MAT,baseline
36,13,4,2.2822916666666666,,baseline
36,63,2,1.4648054202454128,MAT,baseline
36,14,6,1.7489583333333334,,baseline
36,544,8,1.9257350286299704,MAT,baseline
36,582,1,1.3710554202454126,MAT,baseline
36,81,3,2.1489583333333333,ETG-only,calp
36,725,3,1.309375,Synergy,calp
36,684,4,2.6822916666666665,Synergy,calp
36,701,1,1.0427083333333331,Synergy,calp
333,178,1,2.2979166666666666,,baseline
333,315,1,1.2590683619633034,,baseline
333,367,1,1.6624999999999999,QTRAN,baseline
333,368,1,0.8818135621484342,QTRAN,baseline
333,88,1,2.1866804202454126,,baseline
333,89,1,1.3866804202454128,,baseline
333,389,1,2.564583333333333,QTRAN,baseline
333,390,1,0.9638325214724777,QTRAN,baseline
333,391,1,1.7645833333333334,QTRAN,baseline
333,392,1,1.0979166666666667,QTRAN,baseline
333,568,2,0.6804304202454128,MAPPO,baseline
333,652,2,0.8533470869120796,ETG-only,calp
333,680,4,0.5645833333333334,ETG-only,calp
333,654,2,0.7348879417178906,ETG-only,calp
333,693,2,3.23125,ETG-only,calp
333,700,2,1.1135416666666669,ETG-only,calp
333,81,1,1.630499188139144,,baseline
333,718,1,0.925,ETG-only,calp
546,545,18,1.0666666666666667,,baseline
