scenario,state_digest,methods,source_relation,frames,episodes,ood_frames,ood_ratio,mean_hp_my,mean_hp_enemy,mean_hp_margin,mean_hp_total,mean_game_progress,median_game_progress,mean_score_conditioned,synergy_frames,synergy_ood_ratio,gate_changed_ratio,gate_validation_ratio,gate_opportunity_ratio,mean_gate_confidence,mean_gate_advantage,mean_gate_candidate_visits,top_action_source,top_tuning_reason
sce-2,94f3d9b9b2b8e920,ETG-only,source_etg_supported,1,1,0,0.0,84.0,45.0,39.0,129.0,0.75,0.75,75.0,0,,,,,,,,kg_plan,
sce-2,3e49ce527957306d,ETG-only,source_etg_supported,1,1,0,0.0,84.0,21.0,63.0,105.0,0.8333333333333334,0.8333333333333334,75.0,0,,,,,,,,kg_relaxed,
sce-2,7c3604ba790af50b,ETG-only,source_etg_supported,1,1,0,0.0,81.0,3.0,78.0,84.0,0.9166666666666666,0.9166666666666666,75.0,0,,,,,,,,kg_plan,
sce-2,e47d4c9959e0095e,ETG-only,source_etg_supported,1,1,0,0.0,75.0,0.0,75.0,75.0,1.0,1.0,75.0,0,,,,,,,,kg_relaxed,
sce-2,4b70256e2b884e04,ETG-only,source_etg_supported,1,1,0,0.0,138.0,135.0,3.0,273.0,0.16666666666666666,0.16666666666666666,63.0,0,,,,,,,,kg_relaxed,
sce-2,52c603cbd1c75eff,ETG-only,source_etg_supported,1,1,0,0.0,132.0,123.0,9.0,255.0,0.25,0.25,63.0,0,,,,,,,,kg_relaxed,
sce-2,18042e40e824ab61,ETG-only,source_etg_supported,1,1,0,0.0,114.0,111.0,3.0,225.0,0.3333333333333333,0.3333333333333333,63.0,0,,,,,,,,kg_plan,
sce-2,0690cab4ba754109,ETG-only,source_etg_supported,1,1,0,0.0,102.0,87.0,15.0,189.0,0.4166666666666667,0.4166666666666667,63.0,0,,,,,,,,kg_plan,
sce-2,061ede25b614ea7f,ETG-only,source_etg_supported,1,1,0,0.0,96.0,78.0,18.0,174.0,0.5,0.5,63.0,0,,,,,,,,diverge,
sce-2,1e0c54995284c93d,ETG-only,source_etg_supported,1,1,0,0.0,84.0,66.0,18.0,150.0,0.5833333333333334,0.5833333333333334,63.0,0,,,,,,,,fallback,
sce-2,b75c83b939d77d48,ETG-only,source_etg_supported,1,1,0,0.0,72.0,42.0,30.0,114.0,0.6666666666666666,0.6666666666666666,63.0,0,,,,,,,,kg_plan,
sce-2,81e872dff9772ce3,ETG-only,source_etg_supported,1,1,0,0.0,72.0,33.0,39.0,105.0,0.75,0.75,63.0,0,,,,,,,,kg_plan,
sce-2,61b02858534c606b,ETG-only,source_etg_supported,1,1,0,0.0,66.0,15.0,51.0,81.0,0.8333333333333334,0.8333333333333334,63.0,0,,,,,,,,kg_plan,
sce-2,33daccc49ee0283e,ETG-only,source_etg_supported,1,1,0,0.0,63.0,3.0,60.0,66.0,0.9166666666666666,0.9166666666666666,63.0,0,,,,,,,,diverge,
sce-2,24f66750470d8f89,ETG-only,source_etg_supported,1,1,0,0.0,63.0,0.0,63.0,63.0,1.0,1.0,63.0,0,,,,,,,,kg_relaxed,
sce-2,90118b3b476a3823,ETG-only,source_etg_supported,1,1,0,0.0,120.0,111.0,9.0,231.0,0.36363636363636365,0.36363636363636365,84.0,0,,,,,,,,kg_relaxed,
sce-2,ec48e371a65a88e0,ETG-only,source_etg_supported,1,1,0,0.0,120.0,90.0,30.0,210.0,0.45454545454545453,0.45454545454545453,84.0,0,,,,,,,,kg_plan,
sce-2,33b4c91f7710d0f7,ETG-only,source_etg_supported,1,1,0,0.0,108.0,90.0,18.0,198.0,0.5454545454545454,0.5454545454545454,84.0,0,,,,,,,,diverge,
sce-2,b728c8fc46a96e91,ETG-only,source_etg_supported,1,1,0,0.0,96.0,66.0,30.0,162.0,0.6363636363636364,0.6363636363636364,84.0,0,,,,,,,,diverge,
sce-2,8965ab9e2e7c7998,ETG-only,source_etg_supported,1,1,0,0.0,90.0,45.0,45.0,135.0,0.7272727272727273,0.7272727272727273,84.0,0,,,,,,,,diverge,
sce-2,c701d5fdaecf26f5,ETG-only,source_etg_supported,1,1,0,0.0,90.0,39.0,51.0,129.0,0.8181818181818182,0.8181818181818182,84.0,0,,,,,,,,kg_plan,
sce-2,877ee0b875f76e15,ETG-only,source_etg_supported,1,1,0,0.0,84.0,21.0,63.0,105.0,0.9090909090909091,0.9090909090909091,84.0,0,,,,,,,,kg_plan,
sce-2,598d2703dc9df352,ETG-only,source_etg_supported,1,1,0,0.0,84.0,0.0,84.0,84.0,1.0,1.0,84.0,0,,,,,,,,kg_relaxed,
sce-2,1f79d07874da0ea0,ETG-only,source_etg_supported,1,1,0,0.0,156.0,156.0,0.0,312.0,0.09090909090909091,0.09090909090909091,63.0,0,,,,,,,,diverge,
sce-2,33a61e5914672328,ETG-only,source_etg_supported,1,1,0,0.0,138.0,135.0,3.0,273.0,0.18181818181818182,0.18181818181818182,63.0,0,,,,,,,,diverge,
sce-2,016ecba9145118b8,ETG-only,source_etg_supported,1,1,0,0.0,138.0,117.0,21.0,255.0,0.2727272727272727,0.2727272727272727,63.0,0,,,,,,,,kg_relaxed,
sce-2,c3eafeed9d57a4d6,ETG-only,source_etg_supported,1,1,0,0.0,120.0,111.0,9.0,231.0,0.36363636363636365,0.36363636363636365,63.0,0,,,,,,,,kg_plan,
sce-2,d17025e3e725f236,ETG-only,source_etg_supported,1,1,0,0.0,102.0,87.0,15.0,189.0,0.45454545454545453,0.45454545454545453,63.0,0,,,,,,,,kg_follow,
sce-2,91d9993cc3b0d617,ETG-only,source_etg_supported,1,1,0,0.0,90.0,75.0,15.0,165.0,0.5454545454545454,0.5454545454545454,63.0,0,,,,,,,,kg_relaxed,
sce-2,dda93d9acde1eed3,ETG-only,source_etg_supported,1,1,0,0.0,84.0,63.0,21.0,147.0,0.6363636363636364,0.6363636363636364,63.0,0,,,,,,,,kg_relaxed,
sce-2,f89b959b86f7b675,ETG-only,etg_selected_outside_source_etg,1,1,1,1.0,72.0,48.0,24.0,120.0,0.7272727272727273,0.7272727272727273,63.0,0,,,,,,,,ood,
sce-2,b11de3ef66579250,ETG-only,source_etg_supported,1,1,0,0.0,72.0,27.0,45.0,99.0,0.8181818181818182,0.8181818181818182,63.0,0,,,,,,,,kg_relaxed,
sce-2,ffa9a67aaec0531c,ETG-only,source_etg_supported,1,1,0,0.0,66.0,21.0,45.0,87.0,0.9090909090909091,0.9090909090909091,63.0,0,,,,,,,,kg_relaxed,
sce-2,e3f8bf0afc7a8c15,ETG-only,source_etg_supported,1,1,0,0.0,63.0,0.0,63.0,63.0,1.0,1.0,63.0,0,,,,,,,,kg_relaxed,
sce-2,1df65a3bd0be16a8,ETG-only,source_etg_supported,1,1,0,0.0,156.0,156.0,0.0,312.0,0.07142857142857142,0.07142857142857142,66.0,0,,,,,,,,kg_follow,
sce-2,50f83d9d7d623f6b,ETG-only,source_etg_supported,1,1,0,0.0,150.0,135.0,15.0,285.0,0.14285714285714285,0.14285714285714285,66.0,0,,,,,,,,diverge,
sce-2,a3d3196dde7c2e99,ETG-only,source_etg_supported,1,1,0,0.0,132.0,135.0,-3.0,267.0,0.21428571428571427,0.21428571428571427,66.0,0,,,,,,,,diverge,
sce-2,5843b49796f45330,ETG-only,source_etg_supported,1,1,0,0.0,114.0,111.0,3.0,225.0,0.2857142857142857,0.2857142857142857,66.0,0,,,,,,,,diverge,
sce-2,4432724568073ac5,ETG-only,source_etg_supported,1,1,0,0.0,114.0,90.0,24.0,204.0,0.35714285714285715,0.35714285714285715,66.0,0,,,,,,,,diverge,
sce-2,030544c26416ecdd,ETG-only,source_etg_supported,1,1,0,0.0,102.0,90.0,12.0,192.0,0.42857142857142855,0.42857142857142855,66.0,0,,,,,,,,diverge,
sce-2,98e0dfb75cbb44cb,ETG-only,source_etg_supported,1,1,0,0.0,90.0,66.0,24.0,156.0,0.5,0.5,66.0,0,,,,,,,,kg_plan,
sce-2,f8d2272b641f3edc,ETG-only,source_etg_supported,1,1,0,0.0,87.0,48.0,39.0,135.0,0.5714285714285714,0.5714285714285714,66.0,0,,,,,,,,diverge,
sce-2,ed198e8c9612ca1c,ETG-only,source_etg_supported,1,1,0,0.0,81.0,45.0,36.0,126.0,0.6428571428571429,0.6428571428571429,66.0,0,,,,,,,,kg_follow,
sce-2,269137e9c36abd9c,ETG-only,source_etg_supported,1,1,0,0.0,75.0,33.0,42.0,108.0,0.7142857142857143,0.7142857142857143,66.0,0,,,,,,,,kg_relaxed,
sce-2,2db995466170fe01,ETG-only,source_etg_supported,1,1,0,0.0,75.0,15.0,60.0,90.0,0.7857142857142857,0.7857142857142857,66.0,0,,,,,,,,kg_plan,
