experiment_id,method_group,map_id,map_key,variant,base_variant_id,base_variant_rank,base_variant_trial,backup_condition,baseline_variant,score_mean,score_delta_vs_multi_step_no_switch,terminal_hp_delta_mean,terminal_hp_delta_delta_vs_multi_step_no_switch,win_rate,win_rate_delta_vs_multi_step_no_switch,loss_count,loss_delta_vs_multi_step_no_switch,path_diverged_rate,path_diverged_out_of_beam_ratio,path_diverged_has_backup_ratio,switch_rate_per_divergence,switch_frames_per_100,candidate_mean_planning_score_gain,candidate_mean_future_reward_gain,decision_elapsed_ms_mean,beam_plan_call_count,beam_plan_calls_per_100_frames,beam_plan_ms_mean,beam_plan_ms_total,beam_plan_ms_per_frame,beam_plan_ms_per_frame_delta_vs_multi_step_no_switch
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank02_trial0060_ms_ex,rank02_trial0060,2,60,fixed_pool_multi_step_switch_exact,rank02_trial0060_ms_ns,51.06,15.780000000000001,51.06,15.780000000000001,1.0,0.0,0,0.0,0.3655761024182077,0.8287937743190662,0.12840466926070038,0.12840466926070038,4.694167852062589,-0.007517505248813767,7.160658270648128,0.23854009433965231,629,89.47368421052632,0.9737612082671803,612.4958000000564,0.8712600284495824,0.09726459987814084
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank02_trial0060_ms_fz020,rank02_trial0060,2,60,fixed_pool_multi_step_switch_fuzzy020,rank02_trial0060_ms_ns,40.98,5.699999999999996,40.98,5.699999999999996,1.0,0.0,0,0.0,0.26420454545454547,0.7473118279569892,0.1827956989247312,0.15591397849462366,4.119318181818182,-0.009184391809991295,8.5915863240583,0.23155247148300398,612,86.93181818181819,0.7947099673203054,486.3625000000269,0.6908558238636746,-0.08313960470776693
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank02_trial0060_ms_fz050,rank02_trial0060,2,60,fixed_pool_multi_step_switch_fuzzy050,rank02_trial0060_ms_ns,47.88,12.600000000000001,47.88,12.600000000000001,1.0,0.0,0,0.0,0.4297994269340974,0.8,0.03,0.023333333333333334,1.002865329512894,-0.007255867033005554,7.703970230329387,0.24917383966254586,650,93.12320916905445,0.9008478461537534,585.5510999999397,0.8388984240686814,0.06490299549723988
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank03_trial0031_ms_ns,rank03_trial0031,3,31,fixed_pool_multi_step_no_switch,rank03_trial0031_ms_ns,57.18,0.0,57.18,0.0,1.0,0.0,0,0.0,0.44971264367816094,0.9073482428115016,0.0926517571884984,0.0,0.0,-0.003908973044254333,6.721056844689992,0.21441761904753606,656,94.25287356321839,0.5113117378048586,335.4204999999872,0.4819260057471081,0.0
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank03_trial0031_ms_ex,rank03_trial0031,3,31,fixed_pool_multi_step_switch_exact,rank03_trial0031_ms_ns,48.3,-8.880000000000003,48.3,-8.880000000000003,1.0,0.0,0,0.0,0.4434907010014306,0.9612903225806452,0.035483870967741936,0.03225806451612903,1.4306151645207439,-0.005531711154276635,9.15587864693446,0.2568192307692836,652,93.2761087267525,0.5063484662577935,330.13920000008136,0.4723021459228632,-0.009623859824244907
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank03_trial0031_ms_fz020,rank03_trial0031,3,31,fixed_pool_multi_step_switch_fuzzy020,rank03_trial0031_ms_ns,48.0,-9.18,48.0,-9.18,1.0,0.0,0,0.0,0.4355300859598854,0.9605263157894737,0.029605263157894735,0.029605263157894735,1.2893982808022924,-0.005498987848448784,8.906422708757635,0.2566725190839215,660,94.55587392550143,0.5007001515151462,330.46209999999655,0.4734414040114564,-0.008484601735651687
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank03_trial0031_ms_fz050,rank03_trial0031,3,31,fixed_pool_multi_step_switch_fuzzy050,rank03_trial0031_ms_ns,48.36,-8.82,48.36,-8.82,1.0,0.0,0,0.0,0.35050071530758226,0.8612244897959184,0.12653061224489795,0.12653061224489795,4.434907010014306,-0.0049532290265764615,8.117732991293531,0.24380399999999883,601,85.97997138769671,0.5120733777037659,307.75609999996334,0.44028054363371005,-0.041645462113398035
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank04_trial0046_ms_ns,rank04_trial0046,4,46,fixed_pool_multi_step_no_switch,rank04_trial0046_ms_ns,44.04,0.0,44.04,0.0,1.0,0.0,0,0.0,0.32761087267525035,0.7205240174672489,0.18340611353711792,0.0,0.0,-0.009064731990135556,8.274662644667623,0.25683490196080766,657,93.99141630901288,0.9388022831050427,616.793100000013,0.8823935622317783,0.0
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank04_trial0046_ms_ex,rank04_trial0046,4,46,fixed_pool_multi_step_switch_exact,rank04_trial0046_ms_ns,43.56,-0.4799999999999969,43.56,-0.4799999999999969,1.0,0.0,0,0.0,0.2621776504297994,0.7595628415300546,0.16393442622950818,0.16393442622950818,4.2979942693409745,-0.007938704844868007,8.837338295088566,0.28906290909096105,612,87.67908309455588,0.8897521241830553,544.5283000000298,0.780126504298037,-0.10226705793374136
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank04_trial0046_ms_fz020,rank04_trial0046,4,46,fixed_pool_multi_step_switch_fuzzy020,rank04_trial0046_ms_ns,30.42,-13.619999999999997,30.42,-13.619999999999997,1.0,0.0,0,0.0,0.16572237960339944,0.8290598290598291,0.09401709401709402,0.09401709401709402,1.5580736543909348,-0.012668368301234068,8.897852650633565,0.25752000000000713,638,90.36827195467423,0.7260970219435419,463.2498999999797,0.6561613314447304,-0.2262322307870479
