map_key,parameter,metric,pearson,spearman,n
sce-2,discount_factor,win_rate,-0.008146662906782051,0.05806145492559057,200
sce-2,discount_factor,stability,-0.004261842252933911,-0.05053926348158704,200
sce-2,discount_factor,score_std,-0.05614993770545953,-0.07063976599414987,200
sce-2,backup_enabled,objective,-0.1294071941782646,-0.08079870047475246,200
sce-2,backup_enabled,avg_score,-0.1306023640749771,-0.1185539976668771,200
sce-2,backup_enabled,win_rate,-0.1505991413740288,-0.09701031212514434,200
sce-2,backup_enabled,stability,0.035656516572906014,0.017586322934382954,200
sce-2,backup_enabled,score_std,0.117481163225681,0.09752415445430548,200
sce-2,backup_score_threshold,objective,0.34992468738090393,0.14384236453201968,29
sce-2,backup_score_threshold,avg_score,0.39259730763283385,0.22167487684729056,29
sce-2,backup_score_threshold,win_rate,0.29953768983939383,0.1087955012316699,29
sce-2,backup_score_threshold,stability,0.00019598111286175046,0.08029556650246304,29
sce-2,backup_score_threshold,score_std,-0.054380295420263076,0.015270935960591127,29
sce-2,backup_distance_threshold,objective,-0.3095583428350274,-0.31674876847290634,29
sce-2,backup_distance_threshold,avg_score,-0.30031510322441857,-0.38325123152709356,29
sce-2,backup_distance_threshold,win_rate,-0.173375551201593,-0.16027434815592345,29
sce-2,backup_distance_threshold,stability,0.2897572174626474,0.10541871921182264,29
sce-2,backup_distance_threshold,score_std,0.15315094974128013,0.13497536945812805,29
sce-2,masked_count,objective,0.12039890334986786,0.08046908184797398,200
sce-2,masked_count,avg_score,0.1291139663854509,0.11708400604512889,200
sce-2,masked_count,win_rate,-0.00025645867664761635,0.05769852583200596,200
sce-2,masked_count,stability,-0.022122349242107504,0.023182614357664832,200
sce-2,masked_count,score_std,-0.07461289797274169,-0.08050136318883407,200
sce-2m,beam_width,objective,0.0621719638059017,0.10223987267616215,200
sce-2m,beam_width,avg_score,0.026443176823659546,0.10091965485211643,200
sce-2m,beam_width,win_rate,-0.01058461589256569,0.1336517989870418,200
sce-2m,beam_width,stability,-0.09966090611670707,-0.09921548164863946,200
sce-2m,beam_width,score_std,-0.16220101557217234,-0.13798131603262428,200
sce-2m,lookahead_steps,objective,-0.19432371603716767,-0.2429020010490111,200
sce-2m,lookahead_steps,avg_score,-0.1628777601222589,-0.2554634939213794,200
sce-2m,lookahead_steps,win_rate,-0.11963630962972845,-0.18551596783729984,200
sce-2m,lookahead_steps,stability,0.18718760523951375,0.19404043068327229,200
sce-2m,lookahead_steps,score_std,0.19816556047743092,0.21050120635494363,200
sce-2m,min_visits,objective,0.3243008645688113,0.1990644820136551,200
sce-2m,min_visits,avg_score,0.31610984572557727,0.2095191745222629,200
sce-2m,min_visits,win_rate,0.3254138701200801,0.1726552815093709,200
sce-2m,min_visits,stability,-0.1104771010408979,-0.11734413352233317,200
sce-2m,min_visits,score_std,-0.32871397907194555,-0.22121250236863224,200
sce-2m,max_state_revisits,objective,0.053056013227593,0.14176649460184282,200
sce-2m,max_state_revisits,avg_score,0.0207008039716192,0.13981625675204157,200
sce-2m,max_state_revisits,win_rate,-0.046657935447510276,0.05112042823890093,200
sce-2m,max_state_revisits,stability,-0.11934731917245639,-0.1271580013333759,200
sce-2m,max_state_revisits,score_std,-0.09241360487274819,-0.12183805585733244,200
sce-2m,min_cum_prob,objective,-0.12676806062197507,0.05708169844810214,200
sce-2m,min_cum_prob,avg_score,-0.15975234298519247,0.05872657827689443,200
sce-2m,min_cum_prob,win_rate,-0.1443024225257458,0.06499484090672317,200
sce-2m,min_cum_prob,stability,0.11039795320775819,-0.06202805070126754,200
sce-2m,min_cum_prob,score_std,0.05964864314213353,-0.10417010425260632,200
sce-2m,discount_factor,objective,-0.1784067081248851,-0.14370364648003953,200
sce-2m,discount_factor,avg_score,-0.1332707805838155,-0.129385977248366,200
sce-2m,discount_factor,win_rate,-0.07757128856581724,-0.14947801888455842,200
sce-2m,discount_factor,stability,0.24524837056651774,0.17375534388359715,200
sce-2m,discount_factor,score_std,0.23645329102966153,0.13569789244731117,200
sce-2m,backup_enabled,objective,-0.06740953397562231,-0.13748958984122958,200
