idx,map_id,method,experiment_id,episode_id,result,score,sequence_length,mds_x,mds_y
139,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,260,Win,81.0,13,-1.0587993152624793,-0.13173909258462718
140,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,249,Win,81.0,13,0.24270444726367224,-0.6295334384720781
141,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,240,Win,81.0,13,-1.0234282671233474,-0.12682633278331554
142,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,211,Win,81.0,13,-0.9773675868688393,0.20586617505014979
143,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,193,Win,81.0,13,-1.110499556126848,-0.06762652379606184
144,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,135,Win,81.0,13,-0.3338302484971083,-1.1583445417272482
145,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,115,Win,81.0,13,-1.1966248582659518,-0.08396987884502911
146,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,74,Win,81.0,13,-0.6221579893655056,-1.3480186052692489
147,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,70,Win,81.0,13,-0.86949771368394,-0.06924657982877806
148,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,66,Win,81.0,13,-1.303160782381624,0.2055887244928902
149,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,64,Win,81.0,13,-0.2383290745743555,-1.4343857938388838
150,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,48,Win,81.0,13,-0.9989033048480473,-0.14458919207678983
151,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,297,Win,78.0,12,-0.12642379402053505,-1.1030370226996635
152,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,295,Win,78.0,12,0.06439909077243738,-1.3630977848383248
153,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,279,Win,78.0,12,-1.2047355131712008,-0.3061061715862377
154,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,274,Win,78.0,12,-1.2273073994958599,0.3166836483476554
155,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,256,Win,78.0,12,-1.121879440359014,-0.5709350861534811
156,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,248,Win,78.0,12,-1.149390540206424,-0.42667153062482505
157,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,247,Win,78.0,12,0.06119695320953491,-1.0523665993014788
158,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,238,Win,78.0,12,0.3849181366397265,-1.344685785890573
159,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,223,Win,78.0,12,-1.2124509437119777,-0.91252450495809
160,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,216,Win,78.0,12,-1.0708762679786,-0.6470416867256049
161,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,205,Win,78.0,12,-1.102043847786738,-0.41848402633629933
162,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,202,Win,78.0,12,-1.2201549479126228,-0.9281650368790549
163,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,199,Win,78.0,12,-0.4058334074811675,-1.245371224575344
164,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,186,Win,78.0,12,-0.9199596025624279,-1.2636672214792364
165,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,180,Win,78.0,12,-1.1491326068563168,-0.5536018635208838
166,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,178,Win,78.0,12,-0.8342070760149929,-0.7463531318963703
167,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,160,Win,78.0,12,-1.1020438477867363,-0.41848402633630316
168,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,156,Win,78.0,12,-1.1020438477867371,-0.4184840263363014
169,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,152,Win,78.0,12,-1.102043847786739,-0.41848402633629617
170,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,146,Win,78.0,12,-1.0778721748862488,-0.31164258142901163
171,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,144,Win,78.0,12,-1.332658752936321,-0.2735298264255127
172,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,136,Win,78.0,12,-1.0607630135025727,-0.4496288391541257
173,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,131,Win,78.0,12,-1.1682633800064632,-0.7058692514260188
174,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,126,Win,78.0,12,-1.102043847786736,-0.4184840263363029
175,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,124,Win,78.0,12,-0.9940765339348065,-0.4250162628074668
176,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,122,Win,78.0,12,-1.060763013502537,-0.44962883915425933
177,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,120,Win,78.0,12,-1.027764875690979,-0.3919098112912181
178,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,119,Win,78.0,12,-1.2201549546332848,-0.9281650288944475
179,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,100,Win,78.0,12,-1.0277648756909814,-0.3919098112912047
180,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,97,Win,78.0,12,-1.12373508726605,-0.5086960476742503
181,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,96,Win,78.0,12,-1.1507967864600908,0.006335627998574506
182,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,81,Win,78.0,12,-1.0607630135025716,-0.44962883915412966
183,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,80,Win,78.0,12,-1.3757704977212706,-0.33506670110806047
184,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,79,Win,78.0,12,-1.0277648756910207,-0.39190981129103164
185,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,63,Win,78.0,12,-1.232447539083199,-0.42752457821076
186,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,60,Win,78.0,12,-0.9376226595507395,-1.2607810650065636
187,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,51,Win,78.0,12,-0.9621073022368806,-0.9889404267260887
188,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,32,Win,78.0,12,-1.351521816502485,-0.5150673366422973
189,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,29,Win,78.0,12,-0.7998374443548025,-0.8100937221888771
190,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,27,Win,78.0,12,-1.2392859960833402,0.14778701691685106
191,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,23,Win,78.0,12,-1.1248958896450132,-0.6792416754882885
192,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,19,Win,78.0,12,0.1169550114833056,-1.1897836190818152
193,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,14,Win,78.0,12,-1.3667170863734686,-0.3606697486680085
